name,city,price,checkin,checkout,rating,plan,star_rating,check_in,check_out,rooms,restaurants,bars
Fairfield Inn Suites Orlando Lake Buena Vista In The Marriott Village,Orlando,769,"Check-in: Mar 30, 2025","Check-out: Apr 4, 2025",4.0,European,6,4:00 p.m.,11:00 a.m.,388.0,2.0,1.0
The Terraces At Grove Resort & Water Park,Lake Austin,780,"Check-in: Mar 30, 2025","Check-out: Apr 4, 2025",,European,8,4:00 p.m.,10:00 a.m.,160.0,3.0,2.0
Wyndham Garden Lake Buena Vista Disney Springs Resort Area,Lake Buena Vista,791,"Check-in: Mar 30, 2025","Check-out: Apr 4, 2025",3.5,European,7,4:00 p.m.,11:00 a.m.,394.0,2.0,1.0
Springhill Suites Orlando Lake Buena Vista Marriott Village,Orlando,814,"Check-in: Mar 30, 2025","Check-out: Apr 4, 2025",3.5,European,6,4:00 p.m.,11:00 p.m.,400.0,2.0,1.0
Club Wyndham Cypress Palms,Kissimmee,840,"Check-in: Mar 30, 2025","Check-out: Apr 4, 2025",4.0,European,8,4:00 p.m.,10:00 a.m.,366.0,0.0,0.0
Universal Cabana Bay Beach Resort,Universal Studios Orlando,856,"Check-in: Mar 30, 2025","Check-out: Apr 4, 2025",4.0,European,7,4:00 p.m.,11:00 a.m.,2200.0,7.0,4.0
Doubletree By Hilton Orlando At Seaworld,Orlando,858,"Check-in: Mar 30, 2025","Check-out: Apr 4, 2025",4.0,European,7,3:00 p.m.,11:00 a.m.,1020.0,2.0,2.0
Universal Terra Luna Resort,Universal Orlando,880,"Check-in: Mar 30, 2025","Check-out: Apr 4, 2025",4.0,European,7,4:00 p.m.,11:00 a.m.,750.0,3.0,2.0
Doubletree Suites By Hilton Disney Springs,Orlando,958,"Check-in: Mar 30, 2025","Check-out: Apr 4, 2025",,European,7,4:00 p.m.,11:00 a.m.,229.0,1.0,1.0
Universal Endless Summer Resort - Dockside Inn And Suites,Universal Studios Orlando,967,"Check-in: Mar 30, 2025","Check-out: Apr 4, 2025",4.0,European,6,4:00 p.m.,11:00 a.m.,2050.0,3.0,3.0
